user_id,looker_export.mindfulness_survey_opted_in
685634,TRUE
1715982,TRUE
3899285,TRUE
4393666,TRUE
4608747,TRUE
6868262,TRUE
7119790,TRUE
7294624,TRUE
7456505,TRUE
7624764,TRUE
7918525,TRUE
8581748,TRUE
8893527,TRUE
8913027,TRUE
9179278,TRUE
9317719,TRUE
9480369,TRUE
10102937,TRUE
10352642,TRUE
10540790,TRUE
11098802,TRUE
11115631,TRUE
11189853,TRUE
11206406,TRUE
11217540,TRUE
11220238,TRUE
11280680,TRUE
11300926,TRUE
11323937,TRUE
11498834,TRUE
11662241,TRUE
11673657,TRUE
11678038,TRUE
11702292,TRUE
11718980,TRUE
11765572,TRUE
11819631,TRUE
11830965,TRUE
11844541,TRUE
11857944,TRUE
11971790,TRUE
11985727,TRUE
12045823,TRUE
12165175,TRUE
12242541,TRUE
12330112,TRUE
12336841,TRUE
